iter	Passed	Remaining
198	2269	9133
199	2280	9121
200	2289	9102
201	2300	9088
202	2311	9073
203	2321	9058
204	2332	9045
205	2342	9029
206	2354	9018
207	2364	9004
208	2375	8990
209	2386	8976
210	2397	8964
211	2407	8949
212	2417	8934
213	2429	8923
214	2439	8907
215	2450	8895
216	2460	8878
217	2470	8863
218	2481	8851
219	2492	8836
220	2502	8821
221	2512	8805
222	2523	8792
223	2534	8781
224	2546	8770
225	2556	8757
226	2567	8743
227	2577	8728
228	2588	8714
229	2599	8702
230	2610	8691
231	2621	8679
232	2631	8663
233	2643	8652
234	2653	8638
235	2664	8624
236	2674	8610
237	2684	8595
238	2695	8583
239	2707	8572
240	2717	8558
241	2727	8544
242	2738	8530
243	2748	8516
244	2759	8505
245	2771	8493
246	2781	8479
247	2793	8470
248	2804	8459
249	2815	8446
250	2825	8432
251	2835	8417
252	2847	8406
253	2856	8390
254	2867	8376
255	2878	8364
256	2888	8349
257	2898	8336
258	2909	8323
259	2919	8309
260	2929	8293
261	2940	8281
262	2950	8267
263	2960	8254
264	2971	8240
265	2981	8227
266	2992	8215
267	3002	8200
268	3012	8187
269	3022	8172
270	3032	8158
271	3043	8145
272	3053	8130
273	3064	8119
274	3074	8104
275	3084	8089
276	3094	8077
277	3104	8063
278	3115	8050
279	3125	8037
280	3136	8024
281	3146	8012
282	3156	7998
283	3167	7985
284	3178	7973
285	3188	7960
286	3199	7947
287	3209	7935
288	3219	7921
289	3230	7909
290	3241	7898
291	3251	7884
292	3262	7871
293	3271	7856
294	3283	7845
295	3293	7832
296	3303	7820
297	3314	7806
298	3324	7793
299	3334	7781
300	3344	7767
301	3355	7755
302	3365	7742
303	3375	7729
304	3385	7715
305	3395	7700
306	3406	7688
307	3415	7674
308	3425	7660
309	3436	7648
310	3446	7634
311	3456	7622
312	3467	7611
313	3478	7598
314	3488	7585
315	3498	7572
316	3508	7558
317	3518	7545
318	3529	7534
319	3539	7521
320	3549	7508
321	3560	7496
322	3570	7483
323	3580	7470
324	3590	7457
325	3601	7445
326	3611	7432
327	3621	7420
328	3633	7409
329	3644	7398
330	3655	7387
331	3665	7375
332	3675	7361
333	3685	7348
334	3695	7335
335	3705	7323
336	3715	7310
337	3727	7299
338	3737	7286
339	3747	7275
340	3757	7262
341	3767	7249
342	3779	7238
343	3789	7226
344	3800	7215
345	3810	7203
346	3822	7193
347	3832	7180
348	3844	7170
349	3853	7155
350	3863	7143
351	3874	7132
352	3885	7120
353	3895	7109
354	3905	7096
355	3917	7085
356	3927	7074
357	3939	7064
358	3949	7052
359	3960	7041
360	3972	7031
361	3983	7021
362	3993	7008
363	4004	6997
364	4015	6986
365	4027	6976
366	4038	6965
367	4050	6955
368	4060	6943
369	4070	6931
370	4082	6921
371	4092	6909
372	4102	6896
373	4113	6884
374	4124	6874
375	4135	6862
376	4145	6850
377	4156	6839
378	4166	6826
379	4176	6814
380	4187	6802
381	4197	6791
382	4208	6779
383	4219	6768
384	4229	6755
385	4239	6744
386	4250	6732
387	4261	6720
388	4272	6710
389	4283	6699
390	4293	6687
391	4303	6675
392	4314	6663
393	4324	6651
394	4335	6640
395	4346	6629
396	4356	6617
397	4367	6606
398	4378	6595
399	4389	6584
400	4399	6572
401	4409	6559
402	4421	6549
403	4432	6539
404	4443	6528
405	4453	6516
406	4463	6503
407	4474	6492
408	4486	6482
409	4496	6470
410	4506	6457
411	4516	6446
412	4526	6433
413	4536	6421
414	4548	6411
415	4559	6400
416	4569	6388
417	4579	6376
418	4589	6364
419	4600	6352
420	4610	6340
421	4621	6329
422	4631	6317
423	4641	6305
424	4651	6293
425	4661	6281
426	4672	6269
427	4682	6258
428	4693	6247
429	4703	6234
430	4714	6224
431	4725	6213
432	4735	6201
433	4746	6190
434	4757	6179
435	4768	6168
436	4779	6157
437	4789	6145
438	4800	6134
439	4811	6123
440	4822	6112
441	4832	6101
442	4843	6090
443	4854	6078
444	4864	6067
445	4875	6055
446	4885	6043
447	4894	6031
448	4905	6019
449	4915	6007
450	4925	5995
451	4935	5983
452	4945	5971
453	4955	5959
454	4964	5946
455	4974	5934
456	4984	5922
457	4995	5911
458	5005	5899
459	5015	5887
460	5025	5876
461	5037	5866
462	5047	5854
463	5057	5842
464	5067	5829
465	5078	5819
466	5088	5807
467	5098	5795
468	5109	5784
469	5119	5773
470	5129	5761
471	5140	5750
472	5150	5738
473	5160	5726
474	5171	5716
475	5181	5703
476	5191	5692
477	5201	5680
478	5212	5669
479	5223	5658
480	5233	5646
481	5243	5634
482	5253	5622
483	5263	5611
484	5272	5599
485	5283	5587
486	5293	5575
487	5303	5563
488	5314	5553
489	5324	5541
490	5334	5529
491	5344	5518
492	5355	5507
493	5366	5496
494	5377	5486
495	5388	5474
496	5398	5463
497	5408	5451
498	5419	5441
499	5429	5429
500	5439	5417
501	5450	5406
502	5460	5395
503	5470	5383
504	5482	5373
505	5492	5362
506	5503	5351
507	5513	5339
508	5523	5328
509	5534	5317
510	5544	5305
511	5554	5294
512	5565	5283
513	5576	5272
514	5586	5261
515	5597	5249
516	5608	5239
517	5619	5228
518	5629	5217
519	5640	5206
520	5650	5194
521	5660	5183
522	5671	5172
523	5681	5160
524	5691	5149
525	5701	5138
526	5712	5126
527	5722	5115
528	5732	5104
529	5743	5093
530	5754	5082
531	5765	5071
532	5776	5060
533	5786	5050
534	5797	5039
535	5808	5028
536	5818	5016
537	5827	5004
538	5837	4992
539	5847	4981
540	5858	4970
541	5869	4959
542	5880	4949
543	5890	4937
544	5900	4926
545	5911	4915
546	5921	4903
547	5930	4891
548	5940	4880
549	5950	4868
550	5960	4857
551	5970	4845
552	5981	4834
553	5991	4823
554	6001	4812
555	6012	4801
556	6022	4790
557	6033	4779
558	6042	4767
559	6053	4756
560	6065	4746
561	6076	4735
562	6086	4724
563	6096	4713
564	6106	4701
565	6117	4690
566	6127	4679
567	6137	4667
568	6148	4656
569	6158	4645
570	6168	4634
571	6178	4623
572	6188	4611
573	6199	4600
574	6208	4589
575	6219	4578
576	6229	4566
577	6239	4555
578	6249	4543
579	6259	4532
580	6270	4522
581	6281	4511
582	6291	4500
583	6302	4489
584	6313	4478
585	6322	4466
586	6333	4455
587	6343	4444
588	6354	4433
589	6364	4422
590	6374	4411
591	6385	4400
592	6395	4389
593	6407	4379
594	6419	4369
595	6429	4358
596	6441	4348
597	6451	4337
598	6462	4326
599	6472	4314
600	6486	4306
601	6500	4297
602	6512	4287
603	6523	4276
604	6532	4265
605	6543	4254
606	6553	4243
607	6564	4232
608	6573	4220
609	6583	4209
610	6594	4198
611	6604	4187
612	6614	4175
613	6624	4164
614	6636	4154
615	6646	4143
616	6657	4132
617	6669	4122
618	6678	4110
619	6688	4099
620	6699	4088
621	6708	4077
622	6718	4065
623	6728	4054
624	6738	4042
625	6748	4031
626	6758	4020
627	6767	4008
628	6776	3997
629	6786	3985
630	6797	3974
631	6807	3963
632	6817	3952
633	6828	3942
634	6839	3931
635	6849	3920
636	6860	3909
637	6870	3898
638	6881	3887
639	6891	3876
640	6902	3865
641	6913	3855
642	6923	3843
643	6934	3833
644	6944	3822
645	6954	3811
646	6965	3800
647	6975	3788
648	6985	3777
649	6995	3766
650	7005	3755
651	7016	3744
652	7026	3734
653	7036	3722
654	7047	3712
655	7057	3701
656	7067	3689
657	7078	3678
658	7087	3667
659	7098	3656
660	7108	3645
661	7119	3635
662	7130	3624
663	7140	3613
664	7151	3602
665	7160	3590
666	7170	3580
667	7180	3568
668	7192	3558
669	7202	3547
670	7213	3536
671	7223	3525
672	7233	3514
673	7243	3503
674	7253	3492
675	7264	3481
676	7274	3470
677	7285	3459
678	7295	3449
679	7306	3438
680	7317	3427
681	7328	3416
682	7339	3406
683	7348	3395
684	7359	3384
685	7369	3373
686	7380	3362
687	7389	3351
688	7400	3340
689	7412	3330
690	7422	3319
691	7433	3308
692	7444	3297
693	7455	3287
694	7466	3276
695	7476	3265
696	7487	3254
697	7496	3243
698	7508	3233
699	7519	3222
700	7529	3211
701	7540	3200
702	7550	3189
703	7560	3178
704	7570	3167
705	7580	3156
706	7592	3146
707	7602	3135
708	7613	3124
709	7624	3114
710	7633	3102
711	7643	3091
712	7653	3080
713	7663	3069
714	7673	3058
715	7684	3048
716	7694	3037
717	7704	3026
718	7715	3015
719	7724	3004
720	7733	2992
721	7744	2981
722	7755	2971
723	7765	2960
724	7775	2949
725	7786	2938
726	7796	2927
727	7806	2916
728	7816	2905
729	7827	2895
730	7837	2883
731	7848	2873
732	7859	2862
733	7870	2852
734	7881	2841
735	7891	2830
736	7902	2819
737	7912	2809
738	7922	2798
739	7933	2787
740	7944	2776
741	7955	2766
742	7965	2755
743	7975	2744
744	7988	2734
745	7998	2723
746	8009	2712
747	8018	2701
748	8028	2690
749	8038	2679
750	8048	2668
751	8058	2657
752	8069	2646
753	8079	2636
754	8090	2625
755	8100	2614
756	8111	2603
757	8121	2592
758	8131	2581
759	8141	2570
760	8151	2559
761	8161	2549
762	8171	2538
763	8181	2527
764	8191	2516
765	8202	2505
766	8212	2494
767	8222	2483
768	8233	2473
769	8243	2462
770	8253	2451
771	8265	2441
772	8276	2430
773	8287	2419
774	8297	2408
775	8307	2398
776	8318	2387
777	8328	2376
778	8338	2365
779	8348	2354
780	8360	2344
781	8371	2333
782	8383	2323
783	8393	2312
784	8404	2301
785	8415	2291
786	8425	2280
787	8436	2269
788	8447	2258
789	8457	2248
790	8469	2237
791	8480	2227
792	8491	2216
793	8502	2205
794	8513	2195
795	8523	2184
796	8534	2173
797	8545	2163
798	8555	2152
799	8565	2141
800	8576	2130
801	8587	2120
802	8597	2109
803	8608	2098
804	8619	2088
805	8630	2077
806	8641	2066
807	8652	2055
808	8663	2045
809	8674	2034
810	8685	2024
811	8696	2013
812	8707	2002
813	8718	1992
814	8728	1981
815	8737	1970
816	8747	1959
817	8759	1948
818	8770	1938
819	8780	1927
820	8791	1916
821	8801	1905
822	8811	1895
823	8821	1884
824	8831	1873
825	8842	1862
826	8852	1851
827	8864	1841
828	8875	1830
829	8885	1819
830	8895	1809
831	8905	1798
832	8915	1787
833	8926	1776
834	8936	1765
835	8946	1755
836	8957	1744
837	8969	1733
838	8980	1723
839	8991	1712
840	9001	1701
841	9012	1691
842	9022	1680
843	9033	1669
844	9044	1659
845	9055	1648
846	9066	1637
847	9076	1627
848	9088	1616
849	9098	1605
850	9108	1594
851	9119	1584
852	9129	1573
853	9140	1562
854	9151	1551
855	9162	1541
856	9172	1530
857	9182	1519
858	9193	1509
859	9203	1498
860	9213	1487
861	9223	1476
862	9233	1465
863	9242	1454
864	9254	1444
865	9265	1433
866	9276	1423
867	9288	1412
868	9300	1401
869	9310	1391
870	9322	1380
871	9333	1370
872	9343	1359
873	9354	1348
874	9365	1337
875	9376	1327
876	9387	1316
877	9398	1305
878	9408	1295
879	9419	1284
880	9430	1273
881	9441	1263
882	9452	1252
883	9462	1241
884	9472	1230
885	9483	1220
886	9494	1209
887	9506	1199
888	9516	1188
889	9527	1177
890	9539	1166
891	9549	1156
892	9560	1145
893	9570	1134
894	9580	1124
895	9591	1113
896	9602	1102
897	9612	1091
898	9621	1080
899	9633	1070
900	9642	1059
901	9654	1048
902	9665	1038
903	9675	1027
904	9687	1016
905	9699	1006
906	9710	995
907	9720	984
908	9730	974
909	9740	963
910	9752	952
911	9762	942
912	9773	931
913	9785	920
914	9796	910
915	9806	899
916	9816	888
917	9826	877
918	9837	867
919	9847	856
920	9857	845
921	9867	834
922	9878	824
923	9888	813
924	9899	802
925	9910	791
926	9921	781
927	9931	770
928	9942	759
929	9952	749
930	9964	738
931	9974	727
932	9985	717
933	9995	706
934	10006	695
935	10017	684
936	10027	674
937	10037	663
938	10049	652
939	10059	642
940	10069	631
941	10079	620
942	10090	609
943	10101	599
944	10112	588
945	10123	577
946	10134	567
947	10144	556
948	10155	545
949	10165	535
950	10175	524
951	10186	513
952	10197	502
953	10208	492
954	10220	481
955	10231	470
956	10243	460
957	10253	449
958	10265	438
959	10276	428
960	10286	417
961	10296	406
962	10306	396
963	10319	385
964	10332	374
965	10343	364
966	10352	353
967	10362	342
968	10373	331
969	10383	321
970	10393	310
971	10404	299
972	10413	288
973	10424	278
974	10435	267
975	10445	256
976	10456	246
977	10466	235
978	10477	224
979	10487	214
980	10497	203
981	10508	192
982	10519	181
983	10530	171
984	10542	160
985	10552	149
986	10563	139
987	10573	128
988	10585	117
989	10596	107
990	10606	96
991	10617	85
992	10628	74
993	10638	64
994	10649	53
995	10659	42
996	10670	32
997	10681	21
998	10691	10
999	10701	0
