instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
221,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30
222,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52
223,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54
224,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47
225,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45
226,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74
227,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178
228,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155
229,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95
230,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74
231,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38
232,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24
233,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18
234,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12
235,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3
236,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3
237,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6
238,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27
239,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99
240,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217
241,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130
242,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54
243,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35
244,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57
245,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52
246,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63
247,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47
248,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76
249,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136
250,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95
251,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51
252,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32
253,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20
254,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29
255,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19
256,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7
257,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6
258,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1
259,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5
260,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16
261,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54
262,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128
263,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81
264,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39
265,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35
266,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55
267,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49
268,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44
269,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49
270,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68
271,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139
272,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137
273,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83
274,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56
275,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57
276,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33
277,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19,20
278,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6,7
279,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2,2
280,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2,2
281,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3,3
282,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4,4
283,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3,3
284,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28,28
285,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72,72
286,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197,202
287,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,139
288,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,38
289,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,33,37
290,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,49,52
291,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,2,81,83
292,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,3,39,42
293,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,55,60
294,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76,78
295,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158,162
296,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,141,144
297,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,1,98,99
298,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64,64
299,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,0,40,40
300,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0,30,30
301,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,1,14,15
302,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,0,14,14
303,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,0,5,5
304,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,0,1,1
305,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,0,1,1
306,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,0,8,8
307,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0.0,0,17,17
308,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,0,70,70
309,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,2,156,158
310,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,0,117,117
311,1,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.194,4,40,44
312,1,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,6,47,53
313,1,0,1,12,0,5,1,1,0.2,0.197,0.44,0.2537,2,59,61
314,1,0,1,13,0,5,1,1,0.22,0.197,0.37,0.3881,4,73,77
315,1,0,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836,5,59,64
316,1,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,9,59,68
317,1,0,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045,3,87,90
318,1,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,4,155,159
319,1,0,1,18,0,5,1,1,0.2,0.2576,0.47,0.0,5,134,139
320,1,0,1,19,0,5,1,1,0.16,0.197,0.59,0.0896,3,89,92
321,1,0,1,20,0,5,1,1,0.18,0.2424,0.59,0.0,0,68,68
322,1,0,1,21,0,5,1,1,0.16,0.2273,0.69,0.0,4,48,52
323,1,0,1,22,0,5,1,2,0.16,0.2273,0.69,0.0,2,34,36
324,1,0,1,23,0,5,1,2,0.18,0.2424,0.55,0.0,1,26,27
325,1,0,1,0,0,6,0,1,0.18,0.2424,0.55,0.0,3,25,28
326,1,0,1,1,0,6,0,2,0.16,0.197,0.59,0.0896,2,18,20
327,1,0,1,2,0,6,0,2,0.16,0.197,0.59,0.0896,0,12,12
328,1,0,1,3,0,6,0,2,0.16,0.2273,0.59,0.0,1,7,8
329,1,0,1,4,0,6,0,2,0.16,0.2273,0.59,0.0,0,5,5
330,1,0,1,5,0,6,0,1,0.16,0.2273,0.59,0.0,0,1,1
331,1,0,1,6,0,6,0,1,0.14,0.1667,0.63,0.1045,1,2,3
332,1,0,1,7,0,6,0,1,0.14,0.2121,0.63,0.0,1,9,10
333,1,0,1,8,0,6,0,1,0.14,0.1515,0.63,0.1343,1,22,23
