season,yr,mnth,hr,weekday,workingday,weathersit,temp,hum,windspeed,cnt
3,0,8,5,0,0,1,0.66,0.89,0.2985,8
2,1,4,9,5,1,1,0.34,0.42,0.3284,376
3,1,9,1,6,0,2,0.66,0.89,0.2836,117
4,1,11,8,1,1,1,0.24,0.65,0.0,638
4,0,11,5,6,0,1,0.3,0.75,0.1045,3
2,0,3,16,3,1,2,0.4,0.76,0.2239,136
1,1,2,9,2,1,1,0.32,0.49,0.0,289
4,1,9,16,0,0,1,0.6,0.33,0.3284,691
4,1,11,9,6,0,1,0.34,0.49,0.2239,248
3,1,9,11,5,1,2,0.68,0.61,0.1045,280
2,1,3,22,2,1,1,0.36,0.37,0.1343,134
1,0,1,0,6,0,1,0.24,0.81,0.0,16
2,1,4,5,4,1,1,0.4,0.82,0.0,30
2,0,4,2,4,1,1,0.42,0.54,0.0,7
1,1,2,12,2,1,2,0.3,0.56,0.3881,163
1,1,3,7,5,1,1,0.3,0.7,0.0,262
1,0,12,10,3,1,1,0.34,0.57,0.2239,96
2,0,4,18,2,1,3,0.44,0.77,0.2239,224
4,0,12,14,4,1,2,0.52,0.52,0.3284,132
4,1,11,21,5,1,1,0.34,0.49,0.194,178
4,0,12,2,1,1,1,0.2,0.69,0.0,4
3,0,7,6,6,0,2,0.64,0.83,0.194,38
4,0,11,11,0,0,1,0.5,0.63,0.3582,240
3,1,6,23,5,1,3,0.82,0.63,0.194,48
2,0,5,13,2,1,2,0.62,0.38,0.2537,202
3,1,9,7,6,0,2,0.74,0.58,0.1343,66
1,0,3,11,4,1,1,0.2,0.29,0.0896,50
1,1,1,19,6,0,1,0.52,0.42,0.1045,215
1,1,2,23,0,0,2,0.22,0.93,0.1642,35
2,0,6,16,4,1,1,0.8,0.22,0.4925,318
2,1,6,5,3,1,1,0.66,0.83,0.0896,39
2,1,4,9,0,0,2,0.36,0.81,0.1343,275
3,0,9,19,4,1,3,0.62,1.0,0.3284,52
4,1,12,22,6,0,2,0.3,0.87,0.0,147
3,0,8,5,1,1,1,0.66,0.65,0.3582,24
3,1,9,23,1,1,1,0.54,0.52,0.0,93
2,0,6,6,6,0,1,0.54,0.6,0.0,28
4,1,9,21,6,0,1,0.52,0.55,0.1343,292
2,1,5,8,5,1,1,0.56,0.88,0.0,618
4,0,11,13,4,1,3,0.36,0.81,0.3582,96
4,1,11,18,4,1,1,0.4,0.24,0.4179,507
3,1,9,0,3,1,2,0.56,0.68,0.2836,26
1,0,12,7,5,1,1,0.38,0.82,0.2239,92
2,1,5,8,2,1,2,0.56,0.88,0.1343,590
2,0,4,17,2,1,1,0.68,0.61,0.3582,521
2,1,6,8,1,1,1,0.66,0.74,0.1343,651
4,0,12,11,3,1,3,0.44,1.0,0.0896,50
3,0,9,6,4,1,2,0.6,0.83,0.2537,124
3,1,7,22,6,0,1,0.7,0.79,0.194,225
1,1,1,19,0,0,3,0.42,0.67,0.3881,105
1,0,1,2,6,0,2,0.16,0.59,0.0896,12
2,1,4,21,4,1,1,0.52,0.55,0.1045,267
2,1,6,20,1,1,1,0.6,0.4,0.3582,461
3,0,7,12,6,0,1,0.76,0.43,0.2836,463
3,1,7,6,1,1,1,0.7,0.58,0.1045,136
2,0,5,14,3,1,1,0.5,0.51,0.3881,107
3,0,7,10,3,1,1,0.82,0.46,0.194,113
4,1,10,8,5,1,1,0.58,0.64,0.0,785
2,1,5,9,6,0,1,0.62,0.78,0.1045,284
4,1,11,23,5,1,1,0.32,0.53,0.2239,128
4,0,10,11,5,1,1,0.5,0.45,0.2239,174
3,0,7,23,3,1,1,0.68,0.83,0.2239,98
1,0,2,13,5,1,1,0.24,0.35,0.194,110
3,0,8,10,0,0,1,0.8,0.66,0.1343,266
4,0,10,15,0,0,1,0.62,0.35,0.3881,412
2,1,5,8,3,1,1,0.58,0.83,0.0,650
4,1,10,18,4,1,2,0.56,0.64,0.3284,788
4,1,10,16,3,1,2,0.42,0.54,0.2239,424
2,1,5,18,0,0,1,0.76,0.58,0.2985,518
1,1,3,22,2,1,1,0.28,0.56,0.1642,106
3,1,7,18,1,1,1,0.82,0.46,0.1045,741
1,0,3,10,2,1,2,0.32,0.66,0.194,78
4,1,10,14,1,0,2,0.42,0.58,0.1045,420
1,1,1,0,0,0,1,0.38,0.4,0.2836,91
4,1,11,12,3,1,1,0.44,0.41,0.194,344
4,0,12,9,0,0,1,0.3,0.81,0.0,126
3,1,9,10,5,1,1,0.72,0.74,0.1343,224
3,0,8,20,2,1,2,0.82,0.46,0.2537,288
4,1,10,23,2,1,1,0.54,0.73,0.1045,111
2,1,5,17,6,0,2,0.66,0.36,0.194,576
4,1,11,7,1,1,1,0.24,0.65,0.0,365
4,1,9,4,6,0,1,0.52,0.59,0.2537,14
1,0,2,0,1,1,1,0.24,0.65,0.0,15
1,1,2,4,2,1,1,0.32,0.42,0.3582,2
3,0,6,15,3,1,2,0.82,0.56,0.2836,146
1,1,1,7,0,0,1,0.2,0.37,0.1343,12
2,1,6,8,0,0,1,0.64,0.73,0.0896,181
2,0,4,0,2,1,1,0.5,0.55,0.2239,25
2,0,6,23,3,1,1,0.62,0.53,0.0,107
3,0,8,13,2,1,1,0.72,0.3,0.1045,234
3,1,7,10,2,1,1,0.82,0.43,0.2239,209
4,1,11,4,1,0,1,0.4,0.76,0.0896,4
4,0,10,11,1,1,2,0.5,0.72,0.1642,168
3,1,7,0,4,1,1,0.74,0.66,0.0896,66
2,1,3,9,3,1,2,0.5,0.88,0.1642,293
2,1,5,1,2,1,2,0.5,0.63,0.1343,21
2,1,5,4,2,1,3,0.56,0.94,0.0,5
3,1,7,14,6,0,1,0.86,0.39,0.2537,494
1,0,12,8,6,0,1,0.34,0.81,0.1343,49
1,0,1,9,6,0,1,0.16,0.64,0.1343,33
1,0,1,20,6,0,1,0.12,0.36,0.2537,28
1,0,2,2,1,1,1,0.2,0.8,0.0,3
1,0,2,8,1,1,2,0.34,0.93,0.2985,255
3,0,8,23,4,1,2,0.7,0.74,0.1343,114
2,0,5,2,1,1,3,0.56,0.88,0.1642,5
4,0,10,9,6,0,3,0.4,0.82,0.3582,129
1,1,2,11,1,1,1,0.36,0.43,0.2537,103
4,1,9,5,0,0,1,0.44,0.72,0.0,10
4,1,12,20,1,1,2,0.42,0.94,0.2537,200
3,1,7,1,1,1,3,0.7,0.89,0.1045,18
4,0,11,1,4,1,2,0.4,0.87,0.0,11
4,0,12,8,5,1,1,0.36,0.46,0.4179,459
4,1,10,22,6,0,1,0.4,0.62,0.0,189
1,1,3,19,3,1,1,0.54,0.42,0.3582,361
4,1,12,3,1,1,1,0.38,0.87,0.0,8
3,0,6,19,2,1,2,0.74,0.74,0.2239,425
1,0,3,5,2,1,1,0.2,0.69,0.1045,10
1,1,1,23,2,1,1,0.26,0.81,0.1045,41
1,0,3,19,6,0,1,0.42,0.54,0.0896,112
3,0,7,11,2,1,1,0.82,0.59,0.0,127
1,1,3,17,0,0,1,0.56,0.64,0.0896,541
3,1,6,9,2,1,1,0.58,0.46,0.4179,328
2,1,5,13,1,1,2,0.6,0.53,0.3284,272
4,1,11,4,4,1,2,0.3,0.45,0.2836,10
1,0,3,2,6,0,1,0.24,0.65,0.194,14
4,1,11,9,2,1,3,0.32,0.81,0.3284,110
4,0,11,1,5,1,1,0.34,0.76,0.0,14
1,0,3,20,0,0,1,0.36,0.46,0.2836,67
3,1,9,9,0,0,1,0.58,0.6,0.1343,296
4,0,11,14,5,1,1,0.52,0.39,0.2239,272
4,1,9,8,1,1,1,0.5,0.55,0.194,750
2,1,5,15,1,1,2,0.62,0.73,0.1642,196
1,1,3,9,4,1,1,0.46,0.77,0.2537,286
1,1,1,0,0,0,1,0.36,0.66,0.0,48
3,1,9,0,5,1,1,0.56,0.73,0.0896,87
4,0,9,3,5,1,1,0.52,0.83,0.1045,3
3,0,8,16,6,0,1,0.8,0.46,0.194,373
1,0,1,5,1,0,2,0.18,0.43,0.1642,1
1,0,3,20,4,1,1,0.42,0.67,0.2239,137
3,1,9,14,0,0,1,0.66,0.39,0.1343,635
1,0,2,15,5,1,2,0.28,0.48,0.2537,90
2,1,3,14,4,1,1,0.5,0.42,0.3582,238
3,1,9,9,0,0,2,0.7,0.84,0.0,232
2,1,5,12,4,1,1,0.7,0.58,0.1045,289
4,1,9,16,5,1,2,0.66,0.5,0.2239,502
2,1,6,17,4,1,1,0.72,0.48,0.2239,867
1,1,2,13,1,0,1,0.3,0.42,0.2836,312
4,1,10,6,5,1,1,0.34,0.81,0.0896,143
1,0,1,22,1,0,3,0.14,0.93,0.2537,13
4,0,12,7,3,1,1,0.28,0.75,0.0,247
3,0,7,11,6,0,1,0.9,0.37,0.194,216
4,0,12,4,1,1,1,0.16,0.86,0.1343,4
2,0,4,1,6,0,2,0.32,1.0,0.194,16
4,1,12,0,4,1,1,0.26,0.48,0.2836,44
4,0,10,5,4,1,2,0.54,1.0,0.1045,17
2,1,6,7,6,0,1,0.58,0.64,0.1045,87
4,0,11,14,3,1,2,0.46,1.0,0.1343,61
3,1,8,7,3,1,2,0.66,0.69,0.194,492
2,1,4,19,1,1,2,0.34,0.76,0.2239,298
3,1,7,16,3,1,1,0.8,0.38,0.194,411
4,1,10,12,1,1,3,0.6,0.78,0.3284,284
4,1,11,0,1,0,1,0.42,0.71,0.1045,49
4,0,9,3,6,0,1,0.58,0.94,0.0,31
2,1,6,8,4,1,1,0.6,0.64,0.3284,719
3,0,8,17,6,0,3,0.64,0.89,0.8358,16
4,0,10,0,3,1,2,0.56,0.83,0.1343,25
2,0,3,10,3,1,2,0.34,0.46,0.2239,64
1,1,3,2,1,1,1,0.46,0.88,0.1642,8
4,1,10,14,6,0,1,0.48,0.33,0.194,597
2,0,3,14,4,1,3,0.3,0.87,0.1343,76
3,1,7,17,1,1,1,0.82,0.52,0.1343,847
2,0,6,16,0,0,2,0.76,0.48,0.0,378
3,0,7,19,6,0,1,0.74,0.48,0.194,406
4,0,10,14,6,0,2,0.48,0.48,0.2239,310
1,1,1,14,0,0,1,0.2,0.32,0.3582,188
3,0,9,7,6,0,2,0.46,0.77,0.194,37
4,0,11,20,5,1,1,0.28,0.48,0.194,137
4,0,10,9,1,1,2,0.5,0.45,0.2836,206
3,1,9,16,6,0,2,0.84,0.49,0.1642,462
2,0,5,13,6,0,1,0.72,0.62,0.2239,385
1,1,2,9,1,0,1,0.2,0.59,0.3582,110
2,1,5,2,0,0,2,0.54,0.83,0.2836,93
3,1,9,12,2,1,1,0.64,0.33,0.0,316
2,1,4,16,2,1,1,0.62,0.21,0.1642,485
4,0,10,9,4,1,3,0.56,1.0,0.1045,109
2,1,4,5,1,0,1,0.54,0.77,0.2239,38
1,0,2,18,2,1,1,0.2,0.32,0.3881,152
2,0,5,6,1,1,1,0.44,0.88,0.1045,62
2,1,4,22,6,0,1,0.48,0.2,0.194,182
3,1,8,23,0,0,2,0.72,0.79,0.1642,87
4,0,9,1,1,1,2,0.62,0.88,0.1045,17
4,1,11,15,6,0,1,0.52,0.45,0.0,567
1,0,12,3,3,1,2,0.36,0.71,0.0,2
3,0,7,18,5,1,1,0.66,0.83,0.0896,316
1,0,3,0,6,0,2,0.28,0.81,0.1045,19
1,1,2,8,2,1,1,0.3,0.49,0.0,529
3,0,8,22,0,0,2,0.7,0.79,0.194,134
1,1,2,22,6,0,2,0.14,0.39,0.3881,46
3,1,8,8,2,1,1,0.6,0.78,0.1343,723
2,0,6,9,5,1,1,0.76,0.55,0.0,213
4,1,11,23,4,1,1,0.34,0.46,0.3582,87
3,0,8,18,1,1,1,0.7,0.65,0.194,483
2,1,5,3,2,1,1,0.68,0.79,0.2836,3
2,0,4,5,0,0,2,0.36,0.93,0.0896,4
3,0,8,11,0,0,1,0.82,0.63,0.0,269
2,1,5,15,4,1,1,0.66,0.61,0.194,283
1,1,12,4,5,1,2,0.24,0.6,0.1045,4
3,0,7,20,0,0,1,0.8,0.55,0.3284,275
2,1,4,21,3,1,1,0.34,0.57,0.3881,165
2,0,5,5,0,0,1,0.5,1.0,0.1045,6
2,0,5,23,2,1,2,0.52,0.59,0.1343,81
1,0,2,11,2,1,1,0.26,0.25,0.2537,57
3,1,7,18,0,0,1,0.78,0.62,0.1045,253
4,1,10,20,0,0,3,0.42,0.94,0.4627,55
1,0,1,22,3,1,1,0.16,0.55,0.4478,33
4,1,9,1,0,0,1,0.54,0.52,0.3582,142
2,0,6,22,4,1,1,0.64,0.33,0.2537,155
4,0,12,22,0,0,1,0.34,0.87,0.1045,64
3,1,8,23,2,1,1,0.68,0.57,0.0,109
4,1,12,16,2,1,2,0.38,0.5,0.2239,358
4,0,11,22,3,1,3,0.42,0.88,0.2239,46
2,0,6,4,2,1,1,0.58,0.83,0.1343,5
2,1,4,6,0,0,1,0.36,0.37,0.0,28
1,0,3,18,5,1,2,0.34,0.53,0.2985,187
2,1,4,8,0,0,3,0.4,0.82,0.2537,51
2,1,6,15,6,0,1,0.74,0.35,0.2537,583
3,1,8,23,4,1,1,0.66,0.74,0.0,156
4,0,11,23,0,0,3,0.46,0.88,0.0896,28
4,0,11,17,0,0,1,0.54,0.56,0.194,204
4,0,11,16,4,0,1,0.5,0.34,0.2836,114
2,0,5,9,0,0,1,0.62,0.69,0.1045,189
1,0,1,20,6,0,2,0.4,0.87,0.2537,36
2,0,6,6,6,0,1,0.7,0.61,0.1343,40
4,1,10,2,2,1,3,0.36,0.87,0.2537,7
2,1,4,5,6,0,1,0.32,0.33,0.1642,2
1,0,12,10,6,0,1,0.3,0.42,0.4925,56
2,1,6,11,1,1,2,0.54,0.88,0.1642,121
4,1,11,1,5,1,1,0.24,0.7,0.0896,19
3,1,7,6,0,0,1,0.78,0.7,0.1343,21
1,1,2,10,1,0,1,0.22,0.55,0.4478,143
4,0,12,20,4,1,1,0.34,0.46,0.1045,190
2,0,3,21,2,1,2,0.42,0.54,0.2836,87
3,0,7,20,6,0,1,0.76,0.45,0.2836,284
3,1,9,22,2,1,1,0.56,0.64,0.1045,216
2,0,6,3,1,1,3,0.64,0.89,0.0,1
2,1,5,10,2,1,2,0.6,0.78,0.0896,200
1,1,1,12,0,0,1,0.18,0.4,0.2985,234
3,1,7,13,6,0,2,0.76,0.62,0.0896,591
1,1,12,9,3,1,3,0.2,0.86,0.3284,23
2,0,3,21,5,1,2,0.3,0.39,0.1642,75
2,0,6,0,5,1,1,0.62,0.38,0.2836,68
1,1,12,11,4,1,2,0.28,0.56,0.4478,103
4,0,11,9,6,0,1,0.34,0.76,0.0896,83
4,1,10,14,0,0,2,0.5,0.59,0.4478,402
2,1,5,14,3,1,1,0.72,0.42,0.0896,263
1,1,1,10,1,0,1,0.26,0.35,0.2836,109
1,1,1,5,1,0,1,0.28,0.45,0.3284,4
3,1,9,13,5,1,1,0.7,0.54,0.1642,421
3,1,7,11,4,1,1,0.76,0.45,0.1045,215
2,0,4,12,2,1,2,0.56,0.64,0.4627,92
1,1,12,2,2,0,2,0.26,0.87,0.1642,7
2,0,5,18,1,1,1,0.62,0.38,0.2985,524
3,1,8,7,5,1,2,0.64,0.89,0.0896,421
2,1,4,13,3,1,1,0.56,0.26,0.2239,228
2,0,6,8,1,1,1,0.58,0.49,0.4478,476
1,1,2,16,3,1,1,0.6,0.4,0.2239,283
1,1,1,6,3,1,1,0.34,0.36,0.5224,88
1,1,3,20,1,1,1,0.26,0.37,0.4627,179
4,0,11,14,6,0,1,0.42,0.32,0.2985,349
4,1,11,18,3,1,2,0.32,0.53,0.3582,465
3,1,7,14,5,1,3,0.7,0.84,0.1642,229
2,1,5,14,0,0,1,0.76,0.58,0.2537,547
1,0,12,20,2,1,1,0.32,0.93,0.0896,69
4,1,12,12,1,1,2,0.4,0.87,0.0,232
1,1,2,4,2,1,2,0.26,0.65,0.1045,2
4,1,10,2,2,1,1,0.44,0.67,0.1343,3
3,1,7,5,3,0,1,0.66,0.69,0.0,19
4,0,9,9,0,0,2,0.64,0.83,0.0,155
1,0,1,11,0,0,2,0.36,0.71,0.2537,70
2,0,3,10,5,1,1,0.26,0.48,0.0,68
4,1,10,8,4,1,1,0.46,0.82,0.2537,834
3,1,7,22,5,1,1,0.74,0.45,0.0,263
1,0,2,19,3,1,1,0.3,0.33,0.0,141
4,1,10,6,4,1,1,0.36,0.5,0.1642,159
1,1,1,21,0,0,3,0.16,0.86,0.1045,44
2,1,4,17,6,0,2,0.42,0.41,0.1343,322
1,1,1,14,3,1,3,0.32,0.81,0.1045,73
2,1,6,10,5,1,1,0.64,0.57,0.1642,216
1,1,2,13,2,1,1,0.34,0.49,0.4179,131
3,0,8,8,6,0,1,0.66,0.69,0.0,133
4,0,11,19,0,0,1,0.38,0.76,0.194,151
2,0,3,6,0,0,3,0.16,0.86,0.1343,2
2,0,4,14,4,1,1,0.56,0.43,0.0896,157
2,0,3,11,0,0,2,0.24,0.48,0.1642,108
3,0,9,16,5,1,2,0.52,0.48,0.1642,358
1,1,3,5,2,1,2,0.46,0.82,0.194,24
1,0,3,5,5,1,1,0.38,0.66,0.1642,10
2,0,3,9,0,0,1,0.22,0.55,0.1343,54
4,1,12,11,2,1,2,0.36,0.53,0.3582,173
4,1,12,5,6,0,2,0.26,0.75,0.0,3
1,0,3,6,6,0,1,0.22,0.75,0.2537,4
1,0,1,2,5,1,3,0.24,0.75,0.1642,2
1,0,12,2,4,1,1,0.48,0.82,0.1045,11
4,1,12,17,3,1,1,0.4,0.5,0.3881,562
4,0,11,6,5,1,1,0.26,0.81,0.1045,13
4,1,9,19,0,0,3,0.5,0.72,0.1343,257
1,0,12,17,6,0,1,0.28,0.45,0.1343,68
3,0,8,10,2,1,1,0.7,0.37,0.0,148
3,0,8,10,2,1,1,0.82,0.36,0.2985,140
1,0,1,18,1,1,1,0.24,0.32,0.1045,157
3,0,8,6,6,0,2,0.6,0.83,0.1343,24
3,1,6,6,5,1,2,0.74,0.66,0.0,122
1,1,2,23,3,1,1,0.46,0.63,0.0896,97
3,1,7,11,2,1,2,0.86,0.47,0.0,206
2,1,6,7,5,1,1,0.56,0.83,0.1642,430
3,0,8,19,4,1,2,0.66,0.78,0.3284,272
3,1,9,4,6,0,1,0.56,0.83,0.2836,15
4,1,11,0,4,1,3,0.28,0.61,0.2239,15
2,1,5,23,1,1,2,0.54,0.45,0.194,113
3,0,7,3,4,1,1,0.64,0.94,0.1045,4
1,1,3,10,0,0,2,0.42,0.88,0.1045,351
1,1,3,10,3,1,1,0.56,0.56,0.1045,188
2,1,4,6,2,1,1,0.34,0.71,0.1045,103
2,0,3,1,3,1,1,0.32,0.39,0.0,10
4,1,10,5,0,0,1,0.38,0.66,0.0896,10
2,1,4,7,0,0,3,0.42,0.77,0.3881,24
1,0,3,23,3,1,1,0.4,0.65,0.194,27
4,1,10,13,1,1,2,0.6,0.43,0.1642,305
1,0,3,21,6,0,2,0.44,0.72,0.3284,72
1,1,2,8,4,1,3,0.4,0.87,0.0,445
4,1,10,2,4,1,1,0.64,0.89,0.0,13
3,1,8,11,5,1,3,0.68,0.79,0.1343,251
4,1,10,8,0,0,3,0.42,0.67,0.1343,62
4,0,10,5,6,0,1,0.38,0.66,0.0,8
4,1,9,14,5,1,2,0.7,0.54,0.2537,399
2,0,3,11,1,1,2,0.42,0.71,0.2985,79
4,1,11,1,2,1,1,0.24,0.6,0.1642,8
1,0,2,23,4,1,1,0.46,0.67,0.2985,44
1,0,1,16,1,1,1,0.26,0.3,0.2537,76
3,0,6,11,3,1,1,0.74,0.7,0.1642,145
1,1,3,20,2,1,1,0.32,0.49,0.194,187
4,1,12,7,4,1,1,0.24,0.6,0.2239,385
2,0,5,0,6,0,2,0.5,0.88,0.1343,102
1,1,3,10,4,1,1,0.52,0.68,0.1045,164
4,0,10,0,6,0,3,0.28,0.87,0.2985,19
2,1,4,14,0,0,3,0.38,0.87,0.3284,53
3,0,8,19,5,1,1,0.74,0.42,0.2239,385
4,1,11,13,4,1,2,0.4,0.58,0.1642,248
3,1,9,11,6,0,1,0.7,0.58,0.2836,626
3,1,8,0,2,1,1,0.7,0.84,0.2537,38
4,0,9,16,5,1,3,0.62,0.94,0.0,56
1,1,1,14,0,0,1,0.32,0.26,0.2537,280
2,0,4,12,4,1,2,0.62,0.78,0.2537,107
1,0,1,16,6,0,1,0.24,0.6,0.1642,107
3,0,8,8,3,1,2,0.74,0.51,0.1642,437
3,1,8,18,5,1,2,0.82,0.59,0.2537,671
2,0,3,22,5,1,2,0.28,0.38,0.3284,43
3,1,8,0,2,1,1,0.7,0.74,0.2239,60
4,1,12,18,0,0,2,0.44,0.72,0.1045,203
3,0,6,0,2,1,1,0.62,0.78,0.1642,33
4,1,12,8,0,0,2,0.26,0.93,0.0896,93
4,1,9,1,2,1,1,0.44,0.72,0.1343,13
1,1,1,12,0,0,1,0.4,0.62,0.2836,201
1,1,3,2,4,1,2,0.46,0.94,0.2836,6
1,1,2,23,6,0,1,0.24,0.41,0.4179,91
4,0,10,10,4,1,3,0.5,0.88,0.194,62
2,1,6,8,5,1,2,0.64,0.89,0.194,694
3,0,9,19,2,1,2,0.54,0.88,0.4179,281
3,1,7,18,0,0,1,0.74,0.66,0.1642,515
2,0,5,1,1,1,1,0.52,0.94,0.1343,14
1,1,3,8,6,0,1,0.22,0.44,0.2985,111
2,1,3,15,4,1,1,0.62,0.69,0.194,304
3,1,7,14,4,1,1,0.92,0.33,0.3284,241
3,1,8,18,4,1,1,0.8,0.38,0.1343,853
3,0,7,13,1,1,1,0.82,0.56,0.2537,152
2,0,6,13,0,0,2,0.74,0.51,0.0,363
2,0,4,23,5,0,2,0.36,0.81,0.194,64
2,1,5,10,6,0,1,0.56,0.49,0.0896,411
3,0,9,15,6,0,1,0.74,0.55,0.2239,480
2,1,4,21,0,0,2,0.5,0.59,0.1642,134
4,1,9,18,4,1,2,0.66,0.69,0.2239,899
3,0,7,2,4,1,1,0.64,0.57,0.2985,10
2,1,4,1,2,1,1,0.64,0.57,0.1642,11
1,1,3,22,4,1,1,0.38,0.5,0.2537,126
3,0,9,2,5,1,1,0.4,0.71,0.2836,10
4,0,10,11,1,0,1,0.62,0.69,0.0896,322
4,1,10,12,1,1,2,0.6,0.43,0.1642,323
2,1,4,22,0,0,3,0.5,0.63,0.1045,68
1,1,1,19,0,0,1,0.16,0.37,0.1642,110
4,1,10,11,1,0,2,0.4,0.62,0.0896,308
2,0,6,21,6,0,2,0.66,0.47,0.1045,185
1,0,1,23,2,1,2,0.22,0.93,0.0,20
2,1,5,15,6,0,1,0.72,0.3,0.1045,672
3,0,7,17,6,0,1,0.84,0.32,0.0,401
1,1,1,9,4,1,1,0.32,0.81,0.1045,230
4,0,9,12,6,0,2,0.62,0.83,0.0896,407
1,0,3,4,0,0,1,0.34,0.66,0.1642,13
1,0,3,23,5,1,1,0.3,0.52,0.2537,37
1,1,1,6,4,1,3,0.36,0.93,0.1343,89
3,0,8,23,5,1,2,0.6,0.88,0.0896,106
4,1,10,5,5,1,1,0.52,0.77,0.0,41
3,0,8,21,2,1,1,0.72,0.54,0.0,215
1,0,1,9,6,0,3,0.16,0.93,0.1045,20
1,1,2,10,3,1,1,0.34,0.57,0.2985,120
2,0,5,0,4,1,1,0.36,0.66,0.194,27
2,0,5,11,3,1,2,0.54,0.94,0.0896,23
4,0,10,6,0,0,1,0.32,0.81,0.1642,15
3,0,7,3,3,1,1,0.72,0.58,0.1642,4
1,1,2,14,6,0,2,0.26,0.81,0.2537,243
4,0,10,4,5,1,1,0.56,0.94,0.194,8
1,1,1,2,2,1,2,0.22,0.87,0.1642,4
4,1,11,10,6,0,2,0.26,0.44,0.2985,142
4,0,12,16,5,1,2,0.32,0.45,0.2239,224
4,0,11,3,0,0,1,0.24,0.87,0.0,9
3,1,9,21,5,1,1,0.64,0.73,0.2239,312
4,1,12,5,1,1,2,0.38,0.94,0.1045,27
1,0,3,0,4,1,1,0.24,0.3,0.4627,13
4,1,9,6,5,1,2,0.56,0.94,0.0896,138
3,0,9,11,3,1,1,0.72,0.66,0.1642,164
3,1,7,0,4,1,1,0.66,0.65,0.194,92
1,0,1,19,1,1,1,0.3,0.61,0.1045,111
2,0,4,21,6,0,1,0.32,0.61,0.2537,77
3,1,8,8,6,0,1,0.64,0.69,0.2537,189
